,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
0,PP_0528_PP_0813_PP_0815_PP_1317-R1,1,False,PP_0528_PP_0813_PP_0815_PP_1317,4,473.4303,5595731.4,1.3447025137716728,PP_0528,PP_0813,PP_0815,PP_1317,48408.25,5490621.25,,384619.25,466358.6358333333,5011359.791666667,,2427608.0300000003,0.10380047946040412,1.095635012902145,,0.15843548268375104,True,True,True,False,True,True,False,False,True,True,False
1,PP_0528_PP_0813_PP_4191-R1,1,False,PP_0528_PP_0813_PP_4191,3,325.8933,4961723.9,1.192345043754421,PP_0528,PP_0813,PP_4191,,39323.0,4250035.4,11060958.2,,466358.6358333333,5011359.791666667,25386657.364166666,,0.08431922768993862,0.8480802769474536,0.4356996685830948,,False,True,True,False,True,False,False,False,True,False,False
2,PP_0528_PP_0814_PP_4191-R1,1,False,PP_0528_PP_0814_PP_4191,3,372.1794,1343207.35,0.32278431020859705,PP_0528,PP_0814,PP_4191,,26696.75,5339.35,13317451.2,,466358.6358333333,47735.7775,25386657.364166666,,0.057245106981445186,0.11185216371515057,0.5245846670147924,,False,True,True,True,False,False,False,False,False,False,False
3,PP_0528_PP_0751_PP_4191-R1,1,False,PP_0528_PP_0751_PP_4191,3,400.7445,5505330.04,1.32297828733,PP_0528,PP_0751,PP_4191,,42111.9,9483232.64,14978003.0,,466358.6358333333,13836581.328333331,25386657.364166666,,0.09029938927741847,0.6853739673817457,0.5899950822648078,,False,True,True,False,False,False,False,False,True,False,False
4,PP_0528_PP_0815_PP_4191-R1,1,False,PP_0528_PP_0815_PP_4191,3,398.0633,7672571.92,1.843785201683903,PP_0528,PP_0815,PP_4191,,7651.15,,23387033.3,,466358.6358333333,,25386657.364166666,,0.016406150571926705,,0.9212332669290625,,True,True,True,True,False,False,False,False,True,True,False
5,PP_0815_PP_1317_PP_4191-R1,1,False,PP_0815_PP_1317_PP_4191,3,192.2836,1997126.4,0.47992669741077476,PP_0815,PP_1317,PP_4191,,,1830956.6,21818413.0,,,2427608.0300000003,25386657.364166666,,,0.7542225010682634,0.8594441043190171,,True,True,True,False,False,False,False,False,False,False,False
6,PP_0528_PP_0812_PP_4191-R1,1,False,PP_0528_PP_0812_PP_4191,3,343.7711,4605784.28,1.1068096833965357,PP_0528,PP_0812,PP_4191,,44025.2,4602234.28,11438987.88,,466358.6358333333,4730152.069999999,25386657.364166666,,0.09440202586005864,0.9729569392047053,0.45059054903959755,,False,True,True,False,True,False,False,False,True,False,False
7,PP_0368_PP_0528_PP_4191-R1,1,False,PP_0368_PP_0528_PP_4191,3,338.7219,1148425.13,0.27597646291413486,PP_0368,PP_0528,PP_4191,,189723.04,31351.38,7575668.69,,2942120.4549999996,466358.6358333333,25386657.364166666,,0.06448513679226639,0.0672259021085316,0.29841142854407754,,False,True,True,True,True,False,True,True,True,True,True
8,PP_0528_PP_0813_PP_0815_PP_1317-R2,2,False,PP_0528_PP_0813_PP_0815_PP_1317,4,423.837,7200726.36,1.7303966443553647,PP_0528,PP_0813,PP_0815,PP_1317,42241.7,4375842.7,,501246.12,466358.6358333333,5011359.791666667,,2427608.0300000003,0.09057771584848766,0.8731847007426087,,0.2064773694128866,True,True,True,False,True,True,False,False,True,True,False
9,PP_0528_PP_0813_PP_4191-R2,2,False,PP_0528_PP_0813_PP_4191,3,323.0486,6381101.27,1.533433666669671,PP_0528,PP_0813,PP_4191,,40289.55,2726737.55,6961277.38,,466358.6358333333,5011359.791666667,25386657.364166666,,0.08639177427905213,0.544111311770961,0.27421008130932045,,False,True,True,False,True,False,False,False,True,False,False
