Well,gRNA_Target
A1,A17_1
A2,A20_1
A3,A21_1
A4,A19_1
A5,A18_1
A6,A23_1
A7,A22_1
A8,A24_1
A9,B1_1
A10,A21_2
A11,A22_2
A12,A24_2
A13,A20_2
A14,A23_2
A15,B4_2
A16,B7_2
A17,B1_2
A18,A19_2
A19,A18_2
A20,B8_2
A21,B2_2
A22,B3_2
A23,B5_2
A24,A24_3
B1,B6_3
B2,A22_3
B3,A21_3
B4,B4_3
B5,B1_3
B6,A23_3
B7,B2_3
B8,B3_3
B9,A24_4
B10,B4_4
B11,B3_4
B12,B9_2
B13,B9_3
B14,B9_4
