target_tag,avg_with_tag,avg_without_tag,t_stat,p_value,rank,unique_with_tag
PP_2112,201.11597916666668,274.66783987951806,-2.837373953293792,0.015588308818595041,40.0,4
PP_4122,199.92462166666667,274.3783978666666,-5.7449790857306855,0.0012793152074598404,41.0,2
PP_0944,199.70282,274.37928507333334,-1.6354596891517181,0.16213325484541688,42.0,2
PP_5186,198.95696916666668,274.68518132530124,-3.5126019292987847,0.004459939101565857,43.0,4
PP_0168,196.2886,274.2370450632069,-6.810715107883846,0.011564751882028101,44.0,1
PP_3280,195.28104333333332,274.23905615435797,-16.394957729198858,4.086233773403262e-09,45.0,1
PP_3578,195.26502166666668,274.7148355220884,-4.096236112172297,0.0015254419614472397,46.0,4
PP_4550,193.97418111111108,274.563378022712,-2.862355252517254,0.02034998041944858,47.0,3
PP_2471,192.45398111111112,274.57251750167,-11.498446781774614,9.364718960614324e-09,48.0,3
PP_2589,191.70777666666666,274.2461884231537,-19.10924678398517,3.1489706699591185e-16,49.0,1
PP_4487,191.39604666666665,274.24681063872254,-17.642522837876953,2.333442262793767e-10,50.0,1
PP_1444,190.64940166666668,274.4154987466667,-5.797200016312186,0.0013727511135326993,51.0,2
PP_0597,186.04148916666665,274.7889201204819,-6.443480633055174,2.403851676111884e-05,52.0,4
PP_4187,185.3661011111111,274.61513000668003,-6.521173120173288,9.448252248105868e-05,53.0,3
PP_4737,184.8510233333333,274.25987455755154,-21.40335125938404,6.129063216025963e-22,54.0,1
PP_4116,184.32448333333335,274.8027113319946,-5.571823061860366,0.00011378386362368268,55.0,4
PP_0103,183.52166666666668,274.26252796407186,-12.049809143504795,0.0006391824598580866,56.0,1
PP_4678,182.39975333333334,275.1908259206989,-11.148495992855427,1.8618835161996113e-11,57.0,5
PP_0658,181.71292499999996,274.8236877041499,-8.211660109137348,1.1586901157483738e-06,58.0,4
PP_1607,181.36527,274.6391830995324,-5.226482391127658,0.0006033877596783815,59.0,3
PP_3071,180.95646166666668,274.45427050666666,-18.46830145752785,8.261716894018779e-15,60.0,2
PP_0226,180.74071933333332,275.0208140442656,-3.6643611631194988,0.0023985595203771153,61.0,5
PP_2213,176.81523,274.6665380494322,-12.994884469205788,4.2301006738977065e-09,62.0,3
PP_3122,176.0066866666667,274.2775279241517,-15.335476069485832,5.595848923176068e-05,63.0,1
PP_4636,175.91522333333333,274.27771048569525,-18.57281543517078,2.159227900689126e-07,64.0,1
PP_4667,175.43589999999998,274.87410557563584,-9.588824755881486,1.2537949723313703e-07,65.0,4
PP_4702,173.16169000000002,274.28320656021293,-8.449404800143613,0.007361659761409926,66.0,1
PP_4186,173.06615333333332,274.48583174,-3.290910917357022,0.020801987004176625,67.0,2
PP_2095,171.43805166666667,274.49234414666665,-5.6766342736472755,0.0017993818258974148,68.0,2
PP_3754,171.01022999999998,274.7014378490314,-9.719329368400976,1.667687390502786e-06,69.0,3
PP_3365,170.85116666666667,274.91093074297186,-7.376578510292917,6.292538408628831e-06,70.0,4
PP_1394,170.6679333333333,274.2881841184298,-15.805404559267068,6.640829189749049e-05,71.0,1
PP_4175,169.97726666666668,274.28956269461077,-25.54174419019651,5.979547760085449e-30,72.0,1
PP_1157,167.82782333333333,274.2938530006653,-23.038237628363166,1.276470008794849e-12,73.0,1
PP_4128,166.32844333333333,274.2968457751164,-21.569022152304314,3.797177604006678e-09,74.0,1
PP_1664,166.02748999999997,274.29744648037257,-25.239429492095645,6.448874560964269e-20,75.0,1
PP_0582,165.47555666666668,274.29854814371254,-27.50925437563708,5.1923505463168235e-45,76.0,1
PP_3123,164.9674311111111,275.40170078629035,-6.332193609228248,4.915967967863815e-06,77.0,6
PP_4266,158.640315,274.54353509333333,-8.50343421932739,0.00017253485377018843,78.0,2
PP_2339,158.28010777777777,274.77797164996656,-5.419281054811497,0.0005168127722185488,79.0,3
PP_3282,157.75762,274.31395320691945,-12.299570591138165,0.0017209402159642552,80.0,1
PP_3755,156.62423166666665,274.55159942666666,-7.18907592307799,0.0005236578166265438,81.0,2
PP_4651,156.55485666666667,274.5518769266667,-10.500667373531694,3.337816793607759e-05,82.0,2
PP_1318,156.35911000000002,274.31674464404523,-27.08043381033111,1.1268877525386564e-18,83.0,1
PP_0691,155.03571,274.31938616101127,-8.832118162928708,0.0076969046237049645,84.0,1
PP_0774,153.10163000000003,275.0534973025435,-13.193576876971285,7.838013099470108e-10,85.0,4
PP_5416,152.72400000000002,274.32400035262805,-15.025535621249281,0.00048577458218214707,86.0,1
PP_4011,149.36223666666666,274.5806474066666,-6.531521053841874,0.0009461384064611932,87.0,2
PP_0105,144.83524333333332,274.33974637391884,-17.445033413433563,0.0001638883187419474,88.0,1
PP_4123,141.56888666666669,274.3462660479042,-28.19125797140718,1.0320305643264904e-12,89.0,1
PP_4043,140.311,274.34877679973386,-31.914922536358485,1.8302668194230944e-26,90.0,1
PP_1620,139.22530555555556,274.8925295791583,-7.983673806391324,2.5723665689733355e-05,91.0,3
PP_4159,139.17105333333333,274.3510521423819,-25.951403486905374,8.603261591115465e-09,92.0,1
PP_4635,134.04727,274.36127925482367,-9.899209083038723,0.006254385924131501,93.0,1
PP_1023,132.64291,274.36408236859614,-34.048127125369014,1.436517441643557e-29,94.0,1
PP_5203,132.1498366666667,274.3650665469062,-31.899827799112526,1.5918617855534166e-17,95.0,1
PP_0104,130.41475666666665,274.3685297804391,-15.268256071969724,0.0009380753302063705,96.0,1
PP_4130,128.67724666666666,274.37199786427146,-31.325153305769255,5.080030596096711e-14,97.0,1
PP_4650,127.48566,274.3743762807718,-14.237680360469735,0.0015054848182812811,98.0,1
PP_0277,126.66109999999999,274.37602210911507,-22.491257951918794,1.5838768454483575e-05,99.0,1
PP_0106,125.03137666666667,274.37927504990023,-18.654898809323367,0.00023076018121317055,100.0,1
PP_4160,124.44891,274.3804376580173,-25.9934813772545,5.053427814245375e-07,101.0,1
PP_4161,121.97415666666667,274.3853772854291,-21.913465219203452,3.775973193695398e-05,102.0,1
PP_1031,119.89059999999999,274.389536081171,-21.55864754545339,5.597432280298885e-05,103.0,1
PP_0225,119.71611666666668,274.3898843512974,-13.117977524146179,0.0025060789935206808,104.0,1
PP_4185,114.94933333333334,274.39939888888887,-14.155279499522576,0.0018969609272632482,105.0,1
PP_1755,114.75911333333333,274.3997785695276,-12.948830023421772,0.002797353131530891,106.0,1
PP_0897,113.839255,274.7227393333333,-5.483809672338133,0.002494746697307657,107.0,2
PP_0654,112.83022,274.4036286560213,-40.03439482988101,2.4428371353966725e-44,108.0,1
PP_4679,110.82429555555555,275.0632771342685,-5.571312516523888,0.0004729428336882535,109.0,2
PP_5128,107.16533333333332,274.4149358150366,-28.212934918484173,7.092373627719364e-07,110.0,1
PP_2925,93.03585,274.4431383765802,-47.67317735545365,2.5178281923464625e-131,111.0,1
PP_5420,91.604,274.4459963606121,-35.387408921561246,4.973072777862555e-10,112.0,1
PP_0001,58.02615333333333,274.5130180106454,-28.893839734978744,3.195238640613606e-05,113.0,1
PP_1251,44.940146666666664,274.53913778443115,-49.125727780275355,3.8274801157244346e-16,114.0,1
PP_4894,44.85629,274.5393051630073,-56.69145035823378,1.1447617788784915e-49,115.0,1
PP_1610,42.30915666666667,274.544389261477,-14.803006336618589,0.0028257846923513182,116.0,1
PP_4012,34.48948,274.5599973985362,-40.11063973913501,1.6108074629385896e-07,117.0,1
PP_4119,18.390886666666667,274.5921303193613,-25.895966637258176,0.0002731139287763268,118.0,1
PP_5064,10.573200000000002,274.6077344843646,-23.630578475521403,0.0005230762210676761,119.0,1
PP_1777,0.01,274.6288187159015,-75.42366149935857,0.0,120.0,1
PP_3394,0.01,274.6288187159015,-75.42366149935857,0.0,120.0,1
