target_tag,avg_with_tag,avg_without_tag,t_stat,p_value,rank,unique_with_tag
PP_0528,394.40141974842766,259.87922701559023,12.927763891583036,1.9802274464998773e-28,1.0,40
PP_0812,392.5457696174863,257.69559235827666,12.597798091614932,4.024003260894086e-28,2.0,52
PP_5419,391.45437666666675,273.84749261477043,9.296007143621404,0.006335998430221803,3.0,1
PP_0815,377.91434312,239.65452330680816,13.969504503156863,3.323358898048707e-37,4.0,105
PP_0813,373.97996865671644,258.6951500613027,10.614463427647964,4.706534745928932e-22,5.0,52
PP_0368,365.16426174863386,261.4830571655329,8.666893446075363,9.27379334551668e-16,6.0,55
PP_0814,350.1423326126126,260.93111112928347,9.734863286274738,7.696401728747825e-20,7.0,57
PP_2136,344.9262580246914,270.05481938947366,5.3014835354001315,7.767828289890039e-07,8.0,23
PP_0751,340.49900545454545,259.96409588566826,7.283576868206947,2.3700872600059257e-12,9.0,74
PP_1317,324.80033871212123,269.2092429548763,5.224959569086283,4.958808762872801e-07,10.0,28
PP_4189,322.0779435087719,267.9339447116105,6.240996965493782,1.682770960709362e-09,11.0,41
PP_4174,319.65619999999996,273.99080234863607,4.752906032760999,0.021744320052718844,12.0,1
PP_0548,304.89146666666664,274.0202728742515,3.006955142087347,0.06801827857929774,13.0,1
PP_0437,304.7882088888888,272.74115548856554,2.5408331407926257,0.01313399194143659,14.0,17
PP_4191,297.1012768148148,271.8150781619256,3.3958778866212653,0.0007928718500360068,15.0,30
PP_4192,285.6219480952381,273.5779361053361,1.3977571819430883,0.16543765728144572,16.0,17
PP_1240,281.7799333333333,274.06640367930805,1.0974128388067736,0.33778097075593805,17.0,1
PP_4194,271.03195666666664,274.0878567265469,-0.18461747227736786,0.8691018934254175,18.0,1
PP_1770,252.5545533333333,274.1247377711244,-2.9398522582584006,0.04936163807450388,19.0,1
PP_1506,251.20584767676766,275.6913757000711,-1.628623631225621,0.10621456793303652,20.0,33
PP_1769,248.37902812865494,277.37403050187265,-4.153002742565317,4.072216117764304e-05,21.0,43
PP_2137,244.66136666666668,274.3777491817572,-1.9349130723834769,0.07115998518864798,22.0,4
PP_3355,241.7210666666667,274.14636149700596,-5.965766672976638,0.0006780886547248112,23.0,1
PP_4862,228.88723625000003,274.8136645479082,-2.854420176936902,0.008422212720777238,24.0,7
PP_4549,228.64167833333332,274.26352964,-3.534054243820595,0.012609980792121587,25.0,2
PP_3744,225.80073333333334,274.1781386094478,-2.691742167160041,0.10493400926957835,26.0,1
PP_1457,223.823795,274.2828011733333,-2.395269894855578,0.058986936463786076,27.0,2
PP_4193,220.87354000000002,274.18797332668,-4.68798774610527,0.02751603986957337,28.0,1
PP_5288,218.21956476190476,274.8717398451179,-2.504154385113507,0.020548454223784554,29.0,7
PP_4188,216.06674,274.4305570273881,-10.62940682557224,5.891775082457578e-11,30.0,3
PP_0362,215.7895133333333,274.19812108449764,-7.773166955576272,0.002707479575406046,31.0,1
PP_0999,214.4264108333333,274.56092878179385,-3.231755723505133,0.007261029871961796,32.0,4
PP_5335,214.30577666666667,274.20108263473054,-13.934993639026455,1.638995250305938e-13,33.0,1
PP_0806,212.07569,274.20553390552226,-10.422181895413019,0.00012059122029924168,34.0,1
PP_4121,211.49540666666667,274.45803999331997,-3.5014656815084897,0.0070584560834299395,35.0,3
PP_0338,211.4854233333333,274.20671208250167,-10.91602953721831,5.3006876055631115e-05,36.0,1
PP_1319,204.77427833333334,274.63845595046854,-5.182635377239891,0.00018384636930647696,37.0,4
PP_5417,202.52673333333334,274.2245936992681,-7.56127113476557,0.006383368101223415,38.0,1
PP_4120,201.6223076811594,277.561033611691,-5.783400093206815,1.3388853679191556e-07,39.0,21
