Protein,PP_0226_PP_0437_PP_0751-R1,PP_0226_PP_0597_PP_4678-R1,PP_0226_PP_0897_PP_5288-R1,PP_0226_PP_2339_PP_3365-R1,PP_0368_PP_0597-R1,PP_0368_PP_0812_PP_0944-R1,PP_0368_PP_4191_PP_4192-R1,PP_0437_PP_0528_PP_3578-R1,PP_0437_PP_3365-R1,PP_0437_PP_4116-R1,PP_0528_PP_5288-R1,PP_0597_PP_1769_PP_4862-R1,PP_0658_PP_0815_PP_4187-R1,PP_0658_PP_1506_PP_3071-R1,PP_0658_PP_2136-R1,PP_0751_PP_1620_PP_4678-R1,PP_0774_PP_1607_PP_3578-R1,PP_0774_PP_1769-R1,PP_0774_PP_2213_PP_5288-R1,PP_0812_PP_2095-R1,PP_0812_PP_4121-R1,PP_0813_PP_1769_PP_4191-R1,PP_0813_PP_4120-R1,PP_0813_PP_4189-R1,PP_0813_PP_4549_PP_5288-R1,PP_0814_PP_1769-R1,PP_0814_PP_3123-R1,PP_0814_PP_4192-R1,PP_0814_PP_4192-R4,PP_0814_PP_4862-R1,PP_0814_PP_4862-R4,PP_0814_PP_5288-R1,PP_0815_PP_1317-R1,PP_0999_PP_3578_PP_5186-R1,PP_0999_PP_4120_PP_4191-R1,PP_0999_PP_4679-R1,PP_1319_PP_1457_PP_4192-R1,PP_1319_PP_4121_PP_4667-R1,PP_1319_PP_4678-R1,PP_1444_PP_4189_PP_4191-R1,PP_1506_PP_4651_PP_4862-R1,PP_1607_PP_4550-R1,PP_1620_PP_4116-R1,PP_2112_PP_2136_PP_4678-R1,PP_2112_PP_4188_PP_4862-R1,PP_2112_PP_4189_PP_5186-R1,PP_2137_PP_4011_PP_4120-R1,PP_2137_PP_4116_PP_4187-R1,PP_2137_PP_4189-R1,PP_2137_PP_4189-R4,PP_2213_PP_2471_PP_4266-R1,PP_2339_PP_4186-R1,PP_2471_PP_3754_PP_4667-R1,PP_3123_PP_3755-R1,PP_3123_PP_4667-R1,PP_3123_PP_4862_PP_5186-R1,PP_3123_PP_5288-R1,PP_3365_PP_3754-R1,PP_4122_PP_4188-R1,PP_4189_PP_4550_PP_4862-R1
sp|A9GAJ9,-0.720942918,-0.318413265,0.042975705,1.009489616,-0.558882504,0.032114202,-0.152038363,1.234152879,-0.078092681,-0.459631629,1.106265505,-0.22155378,0.030749305,-0.137080173,-0.139579953,-0.14699751,-0.56207966,-0.164925723,-1.005037813,1.330759059,0.016514558,-0.085902018,-0.506689243,-0.046281021,-0.158526501,-0.327280584,-0.116382539,-0.096025707,-0.355099328,-0.522231176,0.164502888,-0.733660591,-0.182342564,0.003037235,-0.040030953,1.777101822,-0.071582067,-0.603000782,1.17815248,0.567242623,0.155568464,-0.41778489,-1.429043263,-0.271655872,0.114627054,1.729831872,0.145004442,-0.596722395,-1.511935776,-0.278273852,-0.54920565,-0.16923197,-0.262157764,0.41721608,2.022173639,-0.726425301,1.060006551,-0.159279497,-0.206865414,-0.33816311
sp|O77727,-0.720942918,-0.318413265,0.042975705,-1.236807589,-0.558882504,0.032114202,-0.152038363,-0.00557991,5.543997465,-0.459631629,0.455052213,-0.22155378,0.030749305,-0.137080173,-0.139579953,-0.14699751,-0.56207966,0.822678527,-1.005037813,1.338425613,0.016514558,-0.085902018,-0.506689243,-0.046281021,-0.158526501,-0.327280584,-0.116382539,-0.096025707,-0.355099328,-0.522231176,0.164502888,0.294316193,-0.182342564,0.003037235,-0.040030953,0.72093476,-0.071582067,3.182917881,0.030802752,0.567242623,0.155568464,-0.41778489,-1.429043263,-0.271655872,0.114627054,-0.31563588,0.145004442,-0.596722395,-1.511935776,-0.278273852,-0.54920565,-0.16923197,-0.262157764,0.41721608,-0.029038451,-0.726425301,-0.422837885,-0.159279497,-0.206865414,-0.33816311
sp|O82803,-0.720942918,-0.318413265,0.042975705,-1.236807589,-0.558882504,0.032114202,-0.152038363,-0.00557991,-0.078092681,-0.459631629,-0.231241043,4.85795807,0.030749305,-0.137080173,-0.139579953,-0.14699751,-0.56207966,-0.164925723,-1.005037813,-0.315310146,0.016514558,-0.085902018,-0.506689243,-0.046281021,-0.158526501,-0.327280584,-0.116382539,-0.096025707,-0.355099328,-0.522231176,0.164502888,-0.733660591,-0.182342564,0.003037235,-0.040030953,-0.269401766,-0.071582067,-0.603000782,0.030802752,0.567242623,0.155568464,-0.41778489,-1.429043263,-0.271655872,0.114627054,-0.31563588,0.145004442,-0.596722395,-1.511935776,-0.278273852,-0.54920565,-0.16923197,-0.262157764,0.41721608,-0.029038451,-0.726425301,-0.422837885,-0.159279497,-0.206865414,-0.33816311
sp|O85207,-0.720942918,-0.318413265,0.042975705,-1.236807589,-0.558882504,0.032114202,-0.152038363,-0.00557991,-0.078092681,-0.459631629,-0.231241043,-0.22155378,0.030749305,-0.137080173,-0.139579953,-0.14699751,-0.56207966,-0.164925723,-1.005037813,-0.315310146,0.016514558,-0.085902018,-0.506689243,-0.046281021,-0.158526501,-0.327280584,-0.116382539,-0.096025707,-0.355099328,-0.522231176,0.164502888,-0.733660591,4.311413219,0.003037235,-0.040030953,-0.269401766,-0.071582067,-0.603000782,0.030802752,0.567242623,0.155568464,-0.41778489,-1.429043263,-0.271655872,0.114627054,-0.31563588,0.145004442,-0.596722395,-1.511935776,-0.278273852,-0.54920565,-0.16923197,-0.262157764,0.41721608,-0.029038451,-0.726425301,-0.422837885,-0.159279497,-0.206865414,-0.33816311
sp|P00552,-0.05668142,-0.160452978,-0.316806045,-0.535733114,-0.018602589,-0.606397421,-0.06852922,-0.184887079,-0.145126424,-0.21164719,0.200549691,-0.115072996,0.096778831,-0.001758364,0.1961682,-0.041114945,-0.640861306,-0.073197579,-0.103418553,-0.024102421,0.382086304,-0.03714905,-0.065162398,0.027471687,-0.599608561,0.121641215,-0.239865495,0.10378165,0.288096686,0.047187806,0.105748262,-0.005545957,0.2285687,-0.220513565,-0.311169497,0.087769723,0.244192504,0.045613695,0.300193267,-0.41298664,-0.053793948,0.265717567,-0.125553876,-0.167998103,-0.130404646,-0.069496613,-0.456386312,-0.07377008,0.135899489,0.016259086,0.081293383,0.227996347,0.022341785,-0.33057733,-0.093786107,-0.078782173,-0.13996652,-0.05735388,-0.385059614,0.055476487
sp|P00761,0.067002816,0.270106629,-0.303758025,0.781421776,-0.368162386,-0.138595734,0.463950864,-0.037644358,0.078530151,-0.420392119,-0.47294052,0.319498794,0.179473292,0.094332985,-0.418720342,0.160344247,-0.167572879,-0.413815461,-0.334067673,-0.483642702,-0.083732493,-0.155433415,-0.717831389,-0.32990579,0.063632844,-0.328028155,-0.332875156,-0.249828033,-0.024071832,-0.500481393,-0.156595155,-0.410934328,-0.67615658,-0.063090521,0.207517626,-0.126058013,-0.4714839,1.694105527,-0.535273447,0.838550464,-0.235826604,-0.268889183,-0.239268518,0.155287996,-0.115497711,-0.097450901,0.64063869,-0.244754324,-0.498280695,-0.472922705,-0.638430853,-0.561044528,-0.225534173,0.93471596,-0.080913017,-0.364673883,-0.395710762,-0.49928398,-0.440259776,0.178439333
sp|P04264,-1.029306573,0.528447052,-1.13592242,1.402696424,-2.936568165,-0.483307155,-0.149440786,-2.123407122,-0.298716703,-2.519450948,-3.249044652,0.168462226,0.416036758,-1.634711216,-2.565214986,-0.72448571,-1.43151368,-2.342120323,0.283325056,-0.368285414,-1.03153623,-2.307020136,-3.629082898,-2.482072439,-0.788056608,-1.744536029,-0.836113635,0.046033904,-0.849716563,-2.041431972,-0.968550365,-2.355700878,-1.689873711,-2.088507884,-1.659296085,-1.226452459,-1.864721914,-0.132661764,-2.759908769,0.808057063,-1.469560494,-1.068562494,-0.722259059,-0.452450671,0.644590728,-2.024027425,-0.271552719,-2.430502558,-1.662576409,-2.37308932,-1.939050917,-1.73212849,-1.910554347,-0.291535876,-0.063954048,-1.219267372,0.862792641,-1.945222287,-1.81924946,-2.092136957
sp|P0A0Z9,0.037666524,-0.015440178,0.094773984,-0.515313749,0.050483027,-0.277484529,-0.503612138,0.198366893,0.323140377,0.366946938,0.207297968,-0.607522242,-0.172069618,-0.097601307,0.380496248,-0.018000318,-0.344816693,0.661118697,-0.137833962,-0.37379073,0.077657235,0.159089012,0.117303909,0.011015086,-0.253970888,-0.114310269,0.019945988,-0.17255124,0.139080642,0.090146827,-0.007907135,0.051681218,0.133604005,-1.530380404,-0.050389807,-0.000119353,0.421868947,-0.22618426,0.075182139,-0.396468399,-0.408329938,0.178135514,0.118016398,-0.056313502,-0.13759873,-1.534476214,-0.359808845,-0.157032433,0.311756108,0.001043615,0.107729752,0.578948972,-0.143166333,-0.465679473,-0.139819788,-1.27281098,0.215160271,0.173733396,-0.000806355,0.237705628
sp|P0A101,-0.720942918,0.845089866,0.042975705,-1.236807589,-0.558882504,0.032114202,-0.152038363,-0.00557991,-0.078092681,-0.459631629,-0.231241043,-0.22155378,0.030749305,-0.137080173,-0.139579953,-0.14699751,-0.56207966,-0.164925723,-1.005037813,-0.315310146,0.016514558,-0.085902018,-0.506689243,-0.046281021,-0.158526501,-0.327280584,-0.116382539,-0.096025707,-0.355099328,-0.522231176,0.164502888,-0.733660591,-0.182342564,0.003037235,-0.040030953,-0.269401766,-0.071582067,-0.603000782,0.030802752,0.567242623,0.155568464,-0.41778489,-1.429043263,-0.271655872,0.114627054,-0.31563588,0.145004442,-0.596722395,-1.511935776,-0.278273852,5.701162554,-0.16923197,5.608130171,0.41721608,-0.029038451,-0.726425301,-0.422837885,-0.159279497,-0.206865414,-0.33816311
sp|P0A116,-0.104798048,-0.191672725,0.080201839,-0.188066892,0.040423992,0.049258187,0.071903681,-0.067593702,0.000405727,-0.176937483,-0.11942956,-0.211999159,-0.050449029,0.188931223,0.095426456,-0.069984652,-0.210242981,-0.018767704,-0.020690517,0.029153033,0.053279007,0.128739646,-0.063065932,-0.160490451,0.014149177,0.056904745,-0.168057677,0.048247496,-0.08912808,-0.121015156,0.071119301,-0.105162741,-0.1225828,-0.251052349,-0.121436117,-0.116231391,0.147973611,-0.550490041,0.094480252,-0.129795811,-0.093739561,0.067723533,0.249040521,0.260612967,-0.048475425,-0.008396194,-0.106913055,0.092832071,0.199811184,0.144869377,-0.058248972,-0.019951589,-0.311199935,-0.3346384,-0.007096064,0.138906362,0.147098424,0.158923101,-0.091296512,0.216661961
