,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
166,PP_0813_PP_2136-R3,3,False,PP_0813_PP_2136,2,334.0396,8329848.1,0.701189784810005,PP_0813,PP_2136,,,75495.0,1262124.0,,,4654177.084166667,12559180.166666664,,,0.0162209126629133,0.10049413920741458,,,False,True,True,True,False,False,True,True,True,True,True
167,PP_0815_PP_2136-R3,3,False,PP_0815_PP_2136,2,558.6375,6881402.53,0.5792625629273749,PP_0815,PP_2136,,,,1252512.08,,,,12559180.166666664,,,,0.09972880899696733,,,True,True,True,True,False,False,True,True,True,True,True
168,PP_0815_PP_4191-R1,1,False,PP_0815_PP_4191,2,192.2982,1853298.7,0.15600694046769736,PP_0815,PP_4191,,,,38602555.6,,,,40840521.85999999,,,,0.9452023099099549,,,True,False,True,False,False,False,False,False,False,False,False
169,PP_1317_PP_4191-R1,1,False,PP_1317_PP_4191,2,269.4684,7080703.0,0.5960392738582541,PP_1317,PP_4191,,,69130.8,29692351.5,,,3115493.01,40840521.85999999,,,0.022189361291489466,0.7270316378861278,,,False,True,True,False,False,False,False,False,True,False,False
170,PP_0368_PP_0528_PP_0812-R1,1,False,PP_0368_PP_0528_PP_0812,3,322.9961,11800932.74,0.9933786773996447,PP_0368,PP_0528,PP_0812,,123133.38,50701.98,745204.26,,4753127.833333333,1484490.1158333335,6837733.683333334,,0.02590575812762172,0.03415447463019175,0.10898410124050337,,False,True,True,True,True,False,True,True,True,True,True
171,PP_0814_PP_0815_PP_1506-R1,1,False,PP_0814_PP_0815_PP_1506,3,399.2801,9623775.44,0.8101099742543217,PP_0814,PP_0815,PP_1506,,,,22554555.36,,,,13361334.756666666,,,,1.6880465739956374,,True,True,True,True,False,False,False,False,True,True,False
172,PP_0751_PP_1506-R1,1,False,PP_0751_PP_1506,2,175.3198,9092773.5,0.7654113036936552,PP_0751,PP_1506,,,12914254.1,14777749.5,,,20411591.37,13361334.756666666,,,0.6326921730845917,1.1060084766326665,,,False,True,False,False,False,False,False,False,True,False,False
173,Control_P4-R1,1,True,Control,0,169.5059,11874505.8,0.9995719089555976,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,True,True
174,PP_0815_PP_4191-R2,2,False,PP_0815_PP_4191,2,203.6021,1692957.7,0.1425097590141459,PP_0815,PP_4191,,,,26842006.8,,,,40840521.85999999,,,,0.6572395644701492,,,True,False,True,False,False,False,False,False,False,False,False
175,PP_1317_PP_4191-R2,2,False,PP_1317_PP_4191,2,267.2375,8028305.55,0.6758065421377215,PP_1317,PP_4191,,,58302.78,31206950.6,,,3115493.01,40840521.85999999,,,0.018713821476364027,0.7641173319718204,,,False,True,True,False,False,False,False,False,True,False,False
176,PP_0368_PP_0528_PP_0812-R2,2,False,PP_0368_PP_0528_PP_0812,3,306.3925,12434087.2,1.046676340721848,PP_0368,PP_0528,PP_0812,,272729.3,330480.4,295027.0,,4753127.833333333,1484490.1158333335,6837733.683333334,,0.05737891122712283,0.22262216263695467,0.04314689832379915,,False,True,True,True,True,False,True,True,True,True,True
177,PP_0814_PP_0815_PP_1506-R2,2,False,PP_0814_PP_0815_PP_1506,3,397.3431,7835235.1,0.6595542617043398,PP_0814,PP_0815,PP_1506,,,,21863690.9,,,,13361334.756666666,,,,1.6363403281315936,,True,True,True,True,False,False,False,False,True,True,False
178,PP_0751_PP_1506-R2,2,False,PP_0751_PP_1506,2,176.9713,5890511.52,0.4958513595379555,PP_0751,PP_1506,,,12343272.95,16252849.05,,,20411591.37,13361334.756666666,,,0.6047187956222543,1.2164090898097293,,,False,True,False,False,False,False,False,False,True,False,False
179,Control_P4-R2,2,True,Control,0,173.2518,10121554.2,0.8520119846412088,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,True,True
180,PP_0815_PP_4191-R3,3,False,PP_0815_PP_4191,2,191.3776,1702646.82,0.14332536956144967,PP_0815,PP_4191,,,,37089134.35,,,,40840521.85999999,,,,0.9081454560531909,,,True,False,True,False,False,False,False,False,False,False,False
181,PP_1317_PP_4191-R3,3,False,PP_1317_PP_4191,2,282.3137,6481843.0,0.5456284488959934,PP_1317,PP_4191,,,0.0,23196846.0,,,3115493.01,40840521.85999999,,,0.0,0.5679860330756313,,,False,True,True,False,False,False,False,False,True,False,False
182,PP_0368_PP_0528_PP_0812-R3,3,False,PP_0368_PP_0528_PP_0812,3,358.0415,10910809.0,0.918449859225292,PP_0368,PP_0528,PP_0812,,122809.7,302683.6,79465.1,,4753127.833333333,1484490.1158333335,6837733.683333334,,0.02583765981187055,0.20389734951524785,0.011621555281348934,,False,True,True,True,True,False,True,True,True,True,True
183,PP_0814_PP_0815_PP_1506-R3,3,False,PP_0814_PP_0815_PP_1506,3,425.2092,8091041.25,0.6810875066228848,PP_0814,PP_0815,PP_1506,,,,18053167.5,,,,13361334.756666666,,,,1.3511500032578956,,True,True,True,True,False,False,False,False,True,True,False
184,PP_0751_PP_1506-R3,3,False,PP_0751_PP_1506,2,176.8382,9466592.42,0.7968786251773097,PP_0751,PP_1506,,,12591128.84,15215784.76,,,20411591.37,13361334.756666666,,,0.6168616945029504,1.1387922716634318,,,False,True,False,False,False,False,False,False,True,False,False
185,Control_P4-R3,3,True,Control,0,160.1393,13821374.9,1.163455416661128,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,True,True
