Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,12.756225681960338,10.314990879187594,15.333923693095203,397.8505094747709,0.93114185814825
Random Forest Regressor,12.304407602599877,10.156567660074787,14.900309012076407,373.41765510628306,0.935370584546438
Support Vector Regressor,54.13053556546019,30.708577461721642,53.05699438575076,5745.15953385314,0.005654132087821284
Kernel Ridge Regressor,28.222539288890232,16.730656603712806,18.13967447154311,1125.5595138465058,0.8051933205531202
K-NN Regressor,24.513991821305844,17.082041669777965,23.40988092795779,1148.9583200762117,0.8011435624652048
Gaussian Process Regressor,12.258185406939603,10.08908784459848,14.81281082638046,369.6824740490413,0.9360170525562969
Gradient Boosting Regressor,22.63978161624366,17.029348917581554,18.276403321138325,846.5866299881204,0.8534766680719466
TPOT Regressor,17.84057895498282,12.623659722627027,19.87217480902894,713.1895890895802,0.8765644162236876
Ensemble Model,17.735411635769793,13.034591445678156,18.365328116673325,651.8301027232703,0.8871842347624139
