Source_Well,Volume,Destination_Well
A17,1.0,A1
B10,3.0,A1
A6,5.0,A1
A1,5.0,A1
A10,5.0,A10
B10,3.0,A10
A4,5.0,A10
A21,1.0,A10
A4,5.0,A11
A10,5.0,A11
A22,2.1,A11
B10,1.9,A11
A24,1.4,A12
B10,2.6,A12
A4,5.0,A12
A10,5.0,A12
A20,1.5,A13
A10,5.0,A13
B10,2.5,A13
A4,5.0,A13
A10,5.0,A14
A4,5.0,A14
A23,1.4,A14
B10,2.6,A14
B10,3.0,A15
A4,5.0,A15
B4,1.0,A15
A10,5.0,A15
A10,5.0,A16
B10,1.7999999999999998,A16
A4,5.0,A16
B7,2.2,A16
B11,2.9,A17
B1,1.1,A17
A10,5.0,A17
A4,5.0,A17
A19,3.3,A18
A11,5.0,A18
B11,0.7000000000000002,A18
A5,5.0,A18
A18,2.3,A19
B11,1.7000000000000002,A19
A11,5.0,A19
A5,5.0,A19
A1,5.0,A2
B10,2.5,A2
A20,1.5,A2
A6,5.0,A2
B11,1.6,A20
B8,2.4,A20
A11,5.0,A20
A5,5.0,A20
A11,5.0,A21
A5,5.0,A21
B11,2.7,A21
B2,1.3,A21
B3,1.3,A22
A11,5.0,A22
B11,2.7,A22
A5,5.0,A22
A11,5.0,A23
B11,2.9,A23
A5,5.0,A23
B5,1.1,A23
A8,5.0,A24
A13,5.0,A24
A24,1.4,A24
B11,2.6,A24
A6,5.0,A3
A21,1.0,A3
B10,3.0,A3
A1,5.0,A3
A19,3.3,A4
B10,0.7000000000000002,A4
A6,5.0,A4
A1,5.0,A4
B10,1.7000000000000002,A5
A6,5.0,A5
A18,2.3,A5
A1,5.0,A5
A1,5.0,A6
A23,1.4,A6
B10,2.6,A6
A6,5.0,A6
A1,5.0,A7
A6,5.0,A7
A22,2.1,A7
B10,1.9,A7
A24,1.4,A8
B10,2.6,A8
A1,5.0,A8
A6,5.0,A8
B10,2.9,A9
B1,1.1,A9
A7,5.0,A9
A2,5.0,A9
B11,1.9,B1
B6,2.1,B1
A8,5.0,B1
A13,5.0,B1
A16,5.0,B10
B12,3.0,B10
B4,1.0,B10
A12,5.0,B10
B12,2.7,B11
A16,5.0,B11
B3,1.3,B11
A12,5.0,B11
A3,5.0,B12
B9,3.1,B12
A8,5.0,B12
B12,0.8999999999999999,B12
B12,0.8999999999999999,B13
A12,5.0,B13
B9,3.1,B13
A3,5.0,B13
A3,5.0,B14
A15,5.0,B14
B12,0.8999999999999999,B14
B9,3.1,B14
A22,2.1,B2
A8,5.0,B2
B11,1.9,B2
A13,5.0,B2
A8,5.0,B3
A13,5.0,B3
B11,3.0,B3
A21,1.0,B3
A8,5.0,B4
A13,5.0,B4
B4,1.0,B4
B11,3.0,B4
B1,1.1,B5
A8,5.0,B5
A13,5.0,B5
B11,2.9,B5
A23,1.4,B6
A13,5.0,B6
A8,5.0,B6
B11,2.6,B6
B11,2.7,B7
A8,5.0,B7
B2,1.3,B7
A13,5.0,B7
B11,2.7,B8
A9,5.0,B8
A14,5.0,B8
B3,1.3,B8
B12,2.6,B9
A24,1.4,B9
A12,5.0,B9
A16,5.0,B9
