,Line Name,Cycle,Titer
1,Control,DBTL-0,177.337
2,Control,DBTL-0,181.8837333
3,Control,DBTL-0,169.4058
4,Control,DBTL-0,161.6762
5,Control,DBTL-0,136.4298667
6,Control,DBTL-0,162.3184667
7,Control,DBTL-0,162.1252667
8,Control,DBTL-0,165.5256
9,Control,DBTL-0,165.5533333
10,Control,DBTL-0,176.1350667
11,Control,DBTL-0,192.6371333
12,Control,DBTL-0,202.7048
13,Control,DBTL-0,123.8465333
14,Control,DBTL-0,177.1856
15,Control,DBTL-0,168.0272
16,Control,DBTL-0,150.8906667
17,Control,DBTL-0,197.7911333
18,Control,DBTL-0,184.3109333
19,Control,DBTL-1,160.2911
20,Control,DBTL-1,154.8259
21,Control,DBTL-1,164.3307
22,Control,DBTL-1,145.0277
23,Control,DBTL-1,146.4459
24,Control,DBTL-1,144.5349
25,Control,DBTL-1,147.8823
26,Control,DBTL-1,153.8518
27,Control,DBTL-1,149.907
28,Control,DBTL-1,147.4231
29,Control,DBTL-1,179.5075
30,Control,DBTL-1,158.8005
31,Control,DBTL-2,172.4157
32,Control,DBTL-2,168.4865
33,Control,DBTL-2,127.4238
34,Control,DBTL-2,145.4981
35,Control,DBTL-2,143.265
36,Control,DBTL-2,138.3098
37,Control,DBTL-2,176.9144
38,Control,DBTL-2,169.6163
39,Control,DBTL-2,163.3377
40,Control,DBTL-2,153.005
41,Control,DBTL-2,169.8316
42,Control,DBTL-2,152.6962
43,Control,DBTL-3,164.5141
44,Control,DBTL-3,164.3461
45,Control,DBTL-3,182.1113
46,Control,DBTL-3,166.3666
47,Control,DBTL-3,173.3588
48,Control,DBTL-3,185.2032
49,Control,DBTL-3,182.0178
50,Control,DBTL-3,187.5493
51,Control,DBTL-3,186.3067
52,Control,DBTL-3,144.896
53,Control,DBTL-3,141.962
54,Control,DBTL-3,147.3451
55,Control,DBTL-4,150.5033
56,Control,DBTL-4,162.2923
57,Control,DBTL-4,158.0239
58,Control,DBTL-4,155.3979
59,Control,DBTL-4,156.6703
60,Control,DBTL-4,141.6745
61,Control,DBTL-4,150.2075
62,Control,DBTL-4,147.9302
63,Control,DBTL-4,163.1382
64,Control,DBTL-4,141.173
65,Control,DBTL-4,152.178
66,Control,DBTL-4,155.0741
67,Control,DBTL-5,153.6597
68,Control,DBTL-5,152.3662
69,Control,DBTL-5,157.6793
70,Control,DBTL-5,164.7045
71,Control,DBTL-5,174.2098
72,Control,DBTL-5,158.9721
73,Control,DBTL-5,179.2152
74,Control,DBTL-5,158.8876
75,Control,DBTL-5,153.6483
76,Control,DBTL-5,169.5059
77,Control,DBTL-5,173.2518
78,Control,DBTL-5,160.1393
79,Control,DBTL-6,157.9641
80,Control,DBTL-6,151.6721
81,Control,DBTL-6,165.8016
82,Control,DBTL-6,156.8139
83,Control,DBTL-6,160.7165
84,Control,DBTL-6,167.7428
85,Control,DBTL-6,152.3844
86,Control,DBTL-6,157.7208
87,Control,DBTL-6,132.5339
88,Control,DBTL-6,154.8127
89,Control,DBTL-6,152.7466
90,Control,DBTL-6,151.4252
