,Line Name,cycle,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
1335,PP_0368_PP_0751_PP_0813_PP_0815-R3,6,FALSE,PP_0368_PP_0751_PP_0813_PP_0815,4,647.5868,30635776.1,2.044772205,PP_0368,PP_0751,PP_0813,PP_0815,246062.6,4366649.3,1672372.6,,11090248.44,17770618.26,8685842.9,,0.022187294,0.245722981,0.192540047,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1002,PP_0368_PP_0751_PP_0814-R1,4,FALSE,PP_0368_PP_0751_PP_0814,3,423.5738,3656488.6,0.849449013,PP_0368,PP_0751,PP_0814,,99212.1,4645847.1,,,1681609.469,4528284.021,,,0.0589983,1.025961949,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1010,PP_0368_PP_0751_PP_0814-R2,4,FALSE,PP_0368_PP_0751_PP_0814,3,389.8564,3988073.5,0.926480421,PP_0368,PP_0751,PP_0814,,88023,4513614.3,,,1681609.469,4528284.021,,,0.052344496,0.996760424,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1018,PP_0368_PP_0751_PP_0814-R3,4,FALSE,PP_0368_PP_0751_PP_0814,3,358.7351,3909081.53,0.908129577,PP_0368,PP_0751,PP_0814,,109133.31,6656561.69,,,1681609.469,4528284.021,,,0.06489813,1.469996506,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1329,PP_0368_PP_0751_PP_0814_PP_0815-R3,6,FALSE,PP_0368_PP_0751_PP_0814_PP_0815,4,704.5033,9963169,0.664987594,PP_0368,PP_0751,PP_0814,PP_0815,162372,1304129,,,11090248.44,17770618.26,,,0.01464097,0.073386811,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1333,PP_0368_PP_0751_PP_0814_PP_0815-R2,6,FALSE,PP_0368_PP_0751_PP_0814_PP_0815,4,656.3714,12569507.4,0.838946573,PP_0368,PP_0751,PP_0814,PP_0815,294380.8,3254091.6,,,11090248.44,17770618.26,,,0.026544112,0.183116398,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1342,PP_0368_PP_0751_PP_0814_PP_0815-R1,6,FALSE,PP_0368_PP_0751_PP_0814_PP_0815,4,584.5668,29443125.7,1.965169247,PP_0368,PP_0751,PP_0814,PP_0815,196737.8,2953602.6,,,11090248.44,17770618.26,,,0.017739711,0.166207082,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1184,PP_0368_PP_0751_PP_0815-R1,5,FALSE,PP_0368_PP_0751_PP_0815,3,722.3746,10269466.6,0.864462952,PP_0368,PP_0751,PP_0815,,476338,623518.6,,,4753127.833,20411591.37,,,0.100215693,0.03054728,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1192,PP_0368_PP_0751_PP_0815-R2,5,FALSE,PP_0368_PP_0751_PP_0815,3,673.4893,4237085.4,0.356669289,PP_0368,PP_0751,PP_0815,,0,159095,,,4753127.833,20411591.37,,,0,0.007794346,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1200,PP_0368_PP_0751_PP_0815-R3,5,FALSE,PP_0368_PP_0751_PP_0815,3,648.4851,7192997,0.605491956,PP_0368,PP_0751,PP_0815,,156215.55,1173418.6,,,4753127.833,20411591.37,,,0.032865842,0.057487855,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1486,PP_0368_PP_0751_PP_0815_PP_1506-R3,6,FALSE,PP_0368_PP_0751_PP_0815_PP_1506,4,147.1425,656784,0.043836776,PP_0368,PP_0751,PP_0815,PP_1506,13852133.5,45775009,,22933611,11090248.44,17770618.26,,29941416.25,1.249037258,2.575881623,,0.76594944,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE
1487,PP_0368_PP_0751_PP_0815_PP_1506-R2,6,FALSE,PP_0368_PP_0751_PP_0815_PP_1506,4,141.1573,552364,0.036867307,PP_0368,PP_0751,PP_0815,PP_1506,15445593,45394552,,20550320,11090248.44,17770618.26,,29941416.25,1.392718394,2.554472295,,0.686350967,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE
1489,PP_0368_PP_0751_PP_0815_PP_1506-R1,6,FALSE,PP_0368_PP_0751_PP_0815_PP_1506,4,138.5521,682758.4,0.045570427,PP_0368,PP_0751,PP_0815,PP_1506,13255671.2,39793661.2,,22457977.2,11090248.44,17770618.26,,29941416.25,1.195254666,2.239295258,,0.750063959,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE
1449,PP_0368_PP_0751_PP_0815_PP_1769-R2,6,FALSE,PP_0368_PP_0751_PP_0815_PP_1769,4,199.2013,31117405.8,2.07691838,PP_0368,PP_0751,PP_0815,PP_1769,6263833.4,33338101.6,,7812090.8,11090248.44,17770618.26,,8626299.075,0.564805508,1.876023733,,0.905613257,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1451,PP_0368_PP_0751_PP_0815_PP_1769-R1,6,FALSE,PP_0368_PP_0751_PP_0815_PP_1769,4,197.0523,28522948,1.903752367,PP_0368,PP_0751,PP_0815,PP_1769,6981097,30953492.5,,10655110.2,11090248.44,17770618.26,,8626299.075,0.629480668,1.74183543,,1.235189055,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1453,PP_0368_PP_0751_PP_0815_PP_1769-R3,6,FALSE,PP_0368_PP_0751_PP_0815_PP_1769,4,195.5156,22086399.7,1.474147613,PP_0368,PP_0751,PP_0815,PP_1769,3270721,28951125.9,,14744836,11090248.44,17770618.26,,8626299.075,0.294918641,1.629156931,,1.709288754,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1416,PP_0368_PP_0751_PP_0815_PP_4120-R2,6,FALSE,PP_0368_PP_0751_PP_0815_PP_4120,4,223.6769,11924876.6,0.795920957,PP_0368,PP_0751,PP_0815,PP_4120,141932,17496703,,2662296,11090248.44,17770618.26,,3052578.717,0.01279791,0.984586059,,0.872146551,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
