,Strain,Time,Temperature,Titer
137,ΔPP_1317 ΔPP_0812,Induction,24,15.2549
138,ΔPP_1317 ΔPP_0812,Induction,24,16.0977
139,ΔPP_0813-15 ΔPP_1317,Induction,24,17.4171
140,ΔPP_0813-15 ΔPP_1317,Induction,24,16.0734
141,ΔPP_0813-15 ΔPP_1317,Induction,24,14.8397
142,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Induction,24,13.4587
143,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Induction,24,15.0422
144,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Induction,24,15.4672
145,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Induction,24,15.4074
146,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Induction,24,16.2556
147,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Induction,24,15.9114
148,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Induction,24,15.7474
149,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Induction,24,16.0343
150,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Induction,24,15.1168
151,ΔPP_0812-15 ΔPP_0368,Induction,24,15.2667
152,ΔPP_0812-15 ΔPP_0368,Induction,24,14.8683
153,ΔPP_0812-15 ΔPP_0368,Induction,24,14.8915
154,PCK-1,Induction,24,14.42
155,PCK-1,Induction,24,14.0948
156,PCK-1,Induction,24,16.0642
157,PCK-2,Induction,24,14.9254
158,PCK-2,Induction,24,14.6857
159,PCK-2,Induction,24,15.9584
160,PCK-3,Induction,24,14.7361
161,PCK-3,Induction,24,14.9212
162,PCK-3,Induction,24,16.2204
163,PCK-4,Induction,24,14.2669
164,PCK-4,Induction,24,16.1545
165,PCK-4,Induction,24,14.8459
166,PCK-5,Induction,24,14.3676
167,PCK-5,Induction,24,13.4405
168,PCK-5,Induction,24,14.0552
169,PCK-6,Induction,24,15.461
170,PCK-6,Induction,24,16.3684
171,PCK-6,Induction,24,14.6625
172,PCK-7,Induction,24,15.1271
173,PCK-7,Induction,24,15.855
174,PCK-7,Induction,24,16.7499
175,PCK-8,Induction,24,15.9616
176,PCK-8,Induction,24,14.958
177,PCK-8,Induction,24,14.3592
178,PCK-9,Induction,24,12.0382
179,PCK-9,Induction,24,13.3416
180,PCK-9,Induction,24,15.837
181,PCK-10,Induction,24,15.3362
182,PCK-10,Induction,24,17.7903
183,PCK-10,Induction,24,18.4298
184,PCK-Control,Induction,24,16.2326
185,PCK-Control,Induction,24,15.6545
186,PCK-Control,Induction,24,15.7558
187,Control-1,24 hr,24,222.3654
188,Control-1,24 hr,24,222.4404
189,Control-1,24 hr,24,226.7084
190,ΔPP_0368,24 hr,24,192.9845
191,ΔPP_0368,24 hr,24,255.7709
192,ΔPP_0368,24 hr,24,274.9717
193,ΔPP_0751,24 hr,24,257.2689
194,ΔPP_0751,24 hr,24,269.1633
195,ΔPP_0751,24 hr,24,296.2042
196,ΔPP_0812,24 hr,24,139.9913
197,ΔPP_0812,24 hr,24,129.8028
198,ΔPP_0812,24 hr,24,142.7712
199,ΔPP_0813,24 hr,24,160.4049
200,ΔPP_0813,24 hr,24,195.5518
201,ΔPP_0813,24 hr,24,184.1752
202,ΔPP_0814,24 hr,24,26.5156
203,ΔPP_0814,24 hr,24,30.6847
204,ΔPP_0814,24 hr,24,32.279
205,ΔPP_0815,24 hr,24,37.1984
206,ΔPP_0815,24 hr,24,37.4453
207,ΔPP_0815,24 hr,24,41.5428
208,ΔPP_0812-15,24 hr,24,37.783
209,ΔPP_0812-15,24 hr,24,33.7295
210,ΔPP_0812-15,24 hr,24,27.8016
211,ΔPP_1317,24 hr,24,145.9202
212,ΔPP_1317,24 hr,24,153.1142
213,ΔPP_1317,24 hr,24,170.683
214,ΔPP_2136,24 hr,24,300.385
215,ΔPP_2136,24 hr,24,284.4469
216,ΔPP_2136,24 hr,24,243.7256
217,ΔPP_4120,24 hr,24,122.0117
218,ΔPP_4120,24 hr,24,114.5394
219,ΔPP_4120,24 hr,24,
220,ΔPP_4189,24 hr,24,251.0326
221,ΔPP_4189,24 hr,24,249.6297
222,ΔPP_4189,24 hr,24,249.5689
223,ΔPP_4191,24 hr,24,33.0509
224,ΔPP_4191,24 hr,24,36.3277
225,ΔPP_4191,24 hr,24,41.0372
226,ΔPP_0751 ΔPP_0812,24 hr,24,51.9999
227,ΔPP_0751 ΔPP_0812,24 hr,24,60.5746
228,ΔPP_0751 ΔPP_0812,24 hr,24,67.6534
229,ΔPP_1317 ΔPP_0812,24 hr,24,62.3694
230,ΔPP_1317 ΔPP_0812,24 hr,24,47.8154
231,ΔPP_1317 ΔPP_0812,24 hr,24,52.861
232,ΔPP_0813-15 ΔPP_1317,24 hr,24,115.2603
233,ΔPP_0813-15 ΔPP_1317,24 hr,24,118.2268
234,ΔPP_0813-15 ΔPP_1317,24 hr,24,122.5703
235,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,24 hr,24,22.601
236,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,24 hr,24,23.6389
237,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,24 hr,24,30.9728
238,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,24 hr,24,202.5031
239,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,24 hr,24,215.3589
240,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,24 hr,24,199.8353
241,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,24 hr,24,56.3438
242,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,24 hr,24,66.4617
243,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,24 hr,24,54.9289
244,ΔPP_0812-15 ΔPP_0368,24 hr,24,22.5221
245,ΔPP_0812-15 ΔPP_0368,24 hr,24,21.943
