Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
PP_3383,0.288422914953221,,,-0.5562341528623428
PP_3443,0.26782039062461444,,0.5071730487990831,
eda,0.2485567634478778,0.6097066271474801,0.27826128215805424,
eno,0.2273716465276197,,,
gapA,-0.34725645201608923,-0.8944260846044341,-1.590465420147025,-0.3336230170401819
gnuK,0.33012855401834856,,-1.305111382107338,
gpmI,0.19689709894922763,,0.07600948825220856,
pgi2,1.2425346531409311,,,1.0119309436395973
pgl,0.23288587694737906,0.29497291662013947,,
PP_2052,,-1.30287769910548,-1.6964475244164747,
PP_3384,,-0.9712991558953831,,-1.1300804816828933
glk,,-0.46289863233043693,,
kguK,,-1.6351002668242065,-1.5237734954431577,-0.3190860706042614
ptxD,,-1.378380911849607,-1.3750815687059594,-1.198893311790054
rpe,,-0.26819180841428975,,
rpiA,,-0.3163063273721843,-0.7486639473673689,-0.9618759066515723
tktA,,0.36180240019173304,,
tpiA,,0.43675326342147003,-0.17925832232326558,
edd,,,-0.8210176812895611,
fba,,,0.6201301174716807,
fbp,,,-0.5453605400774216,-0.25128932946770294
gcd,,,1.452801178956005,
zwfA,,,-0.24776257510359645,
PP_3382,,,,-0.3732230025792578
pykA,,,,-0.40035748476240807
