gRNA_Target
PP_0528
PP_0815
PP_0813
PP_0814
PP_0437
PP_0226
PP_0751
PP_0368
PP_0812
PP_0597
PP_1317
PP_4189
PP_4191
PP_2137
PP_2136
PP_4678
PP_4192
PP_4188
PP_4120
PP_1769
PP_1506
PP_0999
PP_4862
PP_4116
PP_1319
PP_4667
PP_5186
PP_5288
Vector
