Protein,File1_abundance,File2_abundance,log2_change,p_value,log10_p_value
Acca,0.04637161588888889,0.04071629958333333,-0.1876355494560456,0.09666541604763004,1.01472887551512
Accb,0.07182122655555556,0.09021602966666666,0.3289735042198846,0.017449782512702076,1.7582099815484682
Accd,0.07276072111111112,0.06816070041666666,-0.09421968048918683,0.13794552085827305,0.8602923966571923
Acea,0.2602308526666667,0.3041228066666667,0.22486199404733373,0.5546217308455723,0.25600311816705024
Acee,0.29839257155555554,0.3984662378333333,0.4172458690665235,0.0001501945767436985,3.8233457486421556
Acef,0.20046411777777778,0.16945384016666667,-0.24245169194970972,0.02755281789433656,1.5598339781777675
Acnb,0.37232798855555554,0.31988848708333334,-0.2190050000049106,0.19555978330348397,0.7087204526423669
Acpp,0.3667188725555556,0.33081149849999997,-0.14866513253087044,0.1650620743375506,0.7823527014071456
Acsa1,0.12123425855555554,0.20066446216666667,0.7269877015865587,0.025069667036826705,1.6008514340924063
Adk,0.10697744433333332,0.1651741075,0.6266809057393736,0.028778595334098274,1.5409304075341461
Agmr,0.0028494096666666665,0.007872843583333332,1.4662217588219464,0.05268211151045998,1.2783368267443487
Ahpc,0.04634375911111111,0.04015663708333333,-0.2067366153151839,0.4309322957407393,0.36559095697591015
Alas,0.12967569444444443,0.09837130516666666,-0.39859864667963474,0.00015937359656826395,3.7975836265692156
Algb,0.013434215111111111,0.00840502725,-0.6765876329525403,0.04205728465105339,1.376158770145454
Algc,0.008505011333333333,0.012041570416666666,0.5016384918072507,0.03859379889198155,1.4134824705443518
Algp,0.05516268711111111,0.03443001166666667,-0.6800260660446924,0.15947158653619664,0.7973166850819362
Amn,0.076556942,0.034937152666666665,-1.131771168543054,0.0007900406544389535,3.10235055991941
Ampc,0.0027165075555555555,0.00536282875,0.9812411251887373,0.16045462542393535,0.7946477589851956
Ampg,0.0025471363333333333,0.0013101010833333334,-0.9591980507904921,0.2889045619273807,0.5392456004048649
Amtb,0.029928810888888893,0.03245145458333334,0.11674818631862524,0.6363599968451144,0.19629712898691676
Ansb,0.10077796266666667,0.0922582105,-0.12743098176544188,0.4996397496331879,0.30134301793673623
Apag,0.009463943555555555,0.0112649405,0.25132631910318304,0.11331170885366273,0.9457252108091806
Apeb,0.02672227,0.013586188166666666,-0.9759018263457779,0.0002298395316690666,3.6385752719523574
Apha,0.22788347322222224,0.5000362835,1.1337364832182428,0.0024936715926144708,2.603160742079035
Apt,0.022814165555555557,0.016348140833333333,-0.48080331032232676,0.005364013370365334,2.2705101482945906
Arca,0.09974814555555556,0.1785691815,0.8401211881378883,0.01668078102313165,1.7777836188004765
Arcb,0.10471436388888888,0.09949006458333333,-0.07383498782488516,0.7613437342230831,0.11841922210972566
Arcc,0.04517458055555555,0.06238347341666667,0.4656526762305348,0.09571854933556817,1.0190038919676256
Arga,0.03355557577777778,0.017670922583333335,-0.9251751487382409,3.1945724440813436e-05,4.495587258820608
Argb,0.040071627888888885,0.047748177583333336,0.2528645508063887,0.29731653525549134,0.5267809368410673
