Locus,PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0815_log2_change,PP_0528_PP_0751_PP_0815_log10_p_value,PP_0751_PP_0813_PP_0815_log2_change,PP_0751_PP_0813_PP_0815_log10_p_value
A0A140FVX0,-0.18505403599001474,0.2707234748894324,-0.5408849256743107,0.4042259875408959,-0.032917600399422355,0.09664395145881563,0.2695168193473025,0.5021359353245044
A0A140FVX4,0.30488179555898076,0.08943698199731481,0.6779994638379775,0.5359150091047974,1.6313143063346955,3.3146326463976985,0.8657250373207398,0.33380556422243823
A0A140FVX8,-0.14643650829395358,0.08175962543083744,-0.5935157825562555,0.3551224878958512,-1.5455033442094235,0.6803354343659423,-0.5818652513723586,0.19073450470708836
A0A140FVZ0,-0.19173865186054703,0.22469029276312255,-0.03401778840326632,0.07034923968764854,0.1305069148147131,2.4285004570428006,-0.06674548525043791,0.2865213451479137
A0A140FVZ1,0.3347887393150655,1.2105410597129485,0.275753843794112,0.9322163977291782,0.7163914056295616,4.334929723380081,0.6299370263705859,3.7608112177865096
A0A140FVZ6,0.2690686208217856,0.20202157609320986,-0.3310349731660653,0.5348446220930673,0.7830218320721828,2.5044411542632012,-0.8931893824901633,1.7611037124272853
A0A140FW18,1.5225246654890077,0.5301872236193715,1.0445305598268335,0.5093633031753231,-0.019619013904871627,0.017184462188074793,-0.2892197603465506,0.28915586894536477
A0A140FW22,-0.2948081268306322,0.6315709057580527,-0.3370732432874489,0.6929462355814021,-0.014629654936035472,0.04375496490280412,-0.9547500211835452,1.0168413329046737
A0A140FW35,-0.7076403951892191,1.0108228153707448,-0.0756039115132253,0.13057102996647063,-0.5079990177578905,0.9755241885681067,-0.04515704584121344,0.03974577133481291
A0A140FW42,1.6477595901639344,2.555934655148319,1.386849235684688,1.3934897295229671,1.2857254809183714,1.494850654594899,1.2212309587151924,1.029742259358952
A0A140FW57,-1.8821727071369143,2.314466029919166,-2.227956535351606,2.6159169292150963,-1.5065583412887638,2.1765128408671073,-1.6325596703889043,1.6454805942989146
A0A140FW92,-0.3257753545929326,0.18126440043458772,1.5250205834552848,1.1558023702616351,1.1458692269591049,0.8808523947393314,-2.981494246159256,3.5389073631664685
A0A140FWA3,0.9234666900110777,2.9087821141500183,0.576439706429318,1.8508777644768228,0.04915547277116535,0.05529016446071332,0.8491012825050624,1.1876195437908217
A0A140FWA4,1.0634059737245938,1.765152960689187,1.1633766093180238,5.735721971891077,1.0595958768897094,1.42658381982392,0.6742085439872588,1.7445583036513532
A0A140FWC7,0.9165542201629175,1.5559268837936617,0.9647217433378525,1.5764336102033152,0.8078479169691684,2.099801914382925,0.6681960373792881,3.9247694791803123
A0A140FWJ5,2.200640463014548,0.6167314842028534,2.361070976963552,1.218048863689358,-0.8955189238859654,0.764161113821597,-0.7421396544684299,0.6324117549920117
A0A140FWL0,0.9633106348129538,0.18390931326170779,1.0111180280372873,0.2829515108484182,-0.8727512543659395,0.38748803969283635,0.3731184053851551,0.08669553317656613
