Line Name,Measurement Type,Value,Time,Units
PP_0751,sp|Q88QF8,7772.94,24,counts
PP_0751,sp|Q88QJ9,7772.94,24,counts
PP_0751,sp|Q88QR4,7772.94,24,counts
PP_0751,sp|Q88QR5,7772.94,24,counts
PP_0751,sp|Q88QT0,7772.94,24,counts
PP_0751,sp|Q88QU4,7772.94,24,counts
PP_0751,sp|Q88QU5,7772.94,24,counts
PP_0751,sp|Q88QX1,7772.94,24,counts
PP_0751,sp|Q88RG7,7772.94,24,counts
PP_0751,sp|Q88RJ5,7772.94,24,counts
PP_0751,sp|Q88RW4,7772.94,24,counts
PP_0813,sp|A0A140FVX7,7897.07,24,counts
PP_0813,sp|A0A140FWC8,7897.07,24,counts
PP_0813,sp|A0A140FWJ4,7897.07,24,counts
PP_0813,sp|Q88C52,7897.07,24,counts
PP_0813,sp|Q88C61,7897.07,24,counts
PP_0813,sp|Q88C71,7897.07,24,counts
PP_0813,sp|Q88C84,7897.07,24,counts
PP_0813,sp|Q88CA7,7897.07,24,counts
PP_0813,sp|Q88CU2,7897.07,24,counts
PP_0813,sp|Q88D10,7897.07,24,counts
PP_0813,sp|Q88D13,7897.07,24,counts
PP_0813,sp|Q88D26,7897.07,24,counts
PP_0813,sp|Q88D38,7897.07,24,counts
PP_0813,sp|Q88DG7,7897.07,24,counts
PP_0813,sp|Q88E25,7897.07,24,counts
PP_0813,sp|Q88E52,7897.07,24,counts
PP_0813,sp|Q88E73,7897.07,24,counts
PP_0813,sp|Q88EA5,7897.07,24,counts
PP_0813,sp|Q88EB3,7897.07,24,counts
PP_0813,sp|Q88EG8,7897.07,24,counts
PP_0813,sp|Q88EZ2,7897.07,24,counts
PP_0813,sp|Q88F94,7897.07,24,counts
PP_0813,sp|Q88FA1,7897.07,24,counts
PP_0813,sp|Q88FG5,7897.07,24,counts
PP_0813,sp|Q88FI2,7897.07,24,counts
PP_0813,sp|Q88FJ8,7897.07,24,counts
PP_0813,sp|Q88FZ2,7897.07,24,counts
PP_0813,sp|Q88GD8,7897.07,24,counts
PP_0813,sp|Q88GI3,7897.07,24,counts
PP_0813,sp|Q88GI4,7897.07,24,counts
PP_0813,sp|Q88GK1,7897.07,24,counts
PP_0813,sp|Q88GQ5,7897.07,24,counts
PP_0813,sp|Q88GU4,7897.07,24,counts
PP_0813,sp|Q88H61,7897.07,24,counts
PP_0813,sp|Q88HC5,7897.07,24,counts
PP_0813,sp|Q88HR5,7897.07,24,counts
PP_0813,sp|Q88I10,7897.07,24,counts
PP_0813,sp|Q88I46,7897.07,24,counts
PP_0813,sp|Q88I55,7897.07,24,counts
PP_0813,sp|Q88I63,7897.07,24,counts
PP_0813,sp|Q88I78,7897.07,24,counts
PP_0813,sp|Q88I79,7897.07,24,counts
PP_0813,sp|Q88IA2,7897.07,24,counts
PP_0813,sp|Q88IH5,7897.07,24,counts
PP_0813,sp|Q88IZ6,7897.07,24,counts
PP_0813,sp|Q88K09,7897.07,24,counts
PP_0813,sp|Q88K49,7897.07,24,counts
PP_0813,sp|Q88KR2,7897.07,24,counts
PP_0813,sp|Q88KR5,7897.07,24,counts
PP_0813,sp|Q88L07,7897.07,24,counts
PP_0813,sp|Q88L28,7897.07,24,counts
PP_0813,sp|Q88L49,7897.07,24,counts
PP_0813,sp|Q88LE0,7897.07,24,counts
PP_0813,sp|Q88LQ9,7897.07,24,counts
PP_0813,sp|Q88LR2,7897.07,24,counts
PP_0813,sp|Q88LV7,7897.07,24,counts
PP_0813,sp|Q88MB5,7897.07,24,counts
PP_0813,sp|Q88MP0,7897.07,24,counts
PP_0813,sp|Q88MP2,7897.07,24,counts
PP_0813,sp|Q88N19,7897.07,24,counts
PP_0813,sp|Q88N38,7897.07,24,counts
PP_0813,sp|Q88NE3,7897.07,24,counts
PP_0813,sp|Q88NF7,7897.07,24,counts
PP_0813,sp|Q88NS7,7897.07,24,counts
PP_0813,sp|Q88P64,7897.07,24,counts
PP_0813,sp|Q88PH9,7897.07,24,counts
PP_0813,sp|Q88PV5,7897.07,24,counts
PP_0813,sp|Q88PX5,7897.07,24,counts
PP_0813,sp|Q88Q75,7897.07,24,counts
PP_0813,sp|Q88Q78,7897.07,24,counts
PP_0813,sp|Q88QE6,7897.07,24,counts
PP_0813,sp|Q88QJ9,7897.07,24,counts
PP_0813,sp|Q88QR4,7897.07,24,counts
PP_0813,sp|Q88QR5,7897.07,24,counts
PP_0813,sp|Q88QU4,7897.07,24,counts
PP_0813,sp|Q88QU5,7897.07,24,counts
PP_0813,sp|Q88QX1,7897.07,24,counts
PP_0813,sp|Q88RJ5,7897.07,24,counts
PP_4120,sp|A0A140FVX7,7930.47,24,counts
PP_4120,sp|A0A140FW50,7930.47,24,counts
PP_4120,sp|A0A140FW85,7930.47,24,counts
PP_4120,sp|A0A140FWC8,7930.47,24,counts
PP_4120,sp|A0A140FWH0,7930.47,24,counts
PP_4120,sp|A0A140FWJ4,7930.47,24,counts
PP_4120,sp|A0A140FWK1,7930.47,24,counts
PP_4120,sp|Q88C52,7930.47,24,counts
PP_4120,sp|Q88C61,7930.47,24,counts
PP_4120,sp|Q88C71,7930.47,24,counts
PP_4120,sp|Q88C84,7930.47,24,counts
PP_4120,sp|Q88CA7,7930.47,24,counts
PP_4120,sp|Q88CF5,7930.47,24,counts
PP_4120,sp|Q88CL6,7930.47,24,counts
