Locus,PP_0368_log2_change,PP_0368_log10_p_value,PP_0751_log2_change,PP_0751_log10_p_value,PP_0812_15_log2_change,PP_0812_15_log10_p_value,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value,PP_0751_PP_0812_log2_change,PP_0751_PP_0812_log10_p_value,PP_1317_PP_0812_log2_change,PP_1317_PP_0812_log10_p_value,PP_1317_log2_change,PP_1317_log10_p_value,PP_2136_log2_change,PP_2136_log10_p_value
A0A140FVW8,3.3384519121792775,,-0.27605286528779843,,0.4718755604839789,,4.157171825749842,,,,-0.2193348828004888,,1.890351023667926,1.6354617182293134,0.632946294769061,0.3506862202506161,,,,,,
A0A140FVX0,0.002665280524738627,0.006880905914781678,0.6376504313733133,1.3700322643361076,-0.23232846809423008,0.18953469544929005,0.2638704046131071,0.6690074648527753,0.03376195940512442,0.10849267380127972,-0.3250243361529752,0.8029193120280412,0.46984871254512467,2.813445509730778,0.27603053535520006,0.30032169245743684,0.0053184990614151785,0.004920428356829288,0.6212804869848558,0.7852155592645196,1.3909982378847376,1.8704189363073227
A0A140FVX4,-1.0106117414480504,0.4215189081652432,-0.4552603963363027,0.13788570856399784,-0.308417292249467,0.4788475737801091,-0.10076796887885059,0.5031796749229349,-0.2792018877103888,0.4047729036780817,-0.31563110428498875,0.5705753417334616,-2.1802059149764395,2.709120578205499,0.566693986930465,0.4990497843383217,-0.8718578401829625,1.0692713141052412,,,,
A0A140FVX7,0.009696239752136198,0.00455959400415747,1.3915387783625859,0.7820651963595315,-0.9810005330818035,,0.0588548141493507,0.1781587698336625,0.3900452144352729,0.5305105691233833,-0.19970629080723218,0.5740148996165402,0.2789635571000841,0.961203723072631,,,,,,,,
A0A140FVX8,0.517765096552387,0.3725858947744956,2.5899342939321675,1.453725340978226,-1.0174901633266469,0.22190309405539857,0.2263289934306199,0.11403616843596535,0.5433216592743693,0.26715013392395437,-0.2928659185566588,0.17643067422542993,0.6100484536020523,0.9384967292610962,-0.002338484086952969,0.0010725587407838936,,,,,,
A0A140FVY3,-0.5152890944566451,0.17637127680933903,0.15329955980299742,,,,0.24796035249460158,,,,,,,,,,,,,,,
A0A140FVZ0,0.17068085416305398,0.387371380510824,0.30432374239515375,0.9852659593598676,0.31062765071794574,0.38987125714342946,0.0018103332195830478,0.0051296068217779765,0.21568701075561586,0.593306645978241,-0.1539590017093913,0.4361132445076797,-0.08452084797017269,0.48919661459801966,0.38390106024356446,0.28608353217735016,-0.2991251577145059,0.3311154875651602,1.5903796544396405,1.157037700562678,2.36140507326702,2.0809285549200807
A0A140FVZ1,-0.009997563588948492,0.007834197212680758,1.2398670844014905,1.2710609574288838,0.005959264102757329,0.003950662756004739,-0.1894207913848517,0.4890853697138454,0.08014961903114294,0.11557244889809933,-0.04117361596155813,0.06208602690764583,0.8701696022185558,3.523071771088194,0.027446439576895163,0.015082923231295425,-0.014365905757737224,0.0074100909152570935,,,1.779123569811221,1.558015070947441
A0A140FVZ6,-0.3610054068129878,2.2591241606326875,-0.7125992661145335,0.6656233179221137,0.7561070484921618,0.6045862829347568,-0.32688935487624554,0.5938180337324614,-0.6890933345391861,0.3119873345407633,0.44634774188015575,1.24774082391431,1.1206450154147192,0.9471223529448209,0.5884591290125126,0.5192618746351183,-0.4836927990390999,0.5331838390630153,1.7290752095447657,1.02018813658349,,
A0A140FW08,-1.385882585264829,0.8784575982554882,0.4420380070933991,0.6382803585111796,-1.4492133588888885,0.42383316332501497,0.3135158444084317,0.3950829841089066,0.31530653560965993,0.4035535349234829,0.7088860670484207,0.7865455392597941,-2.2041285567182127,2.8741054843006006,-0.46990657985947615,0.38924256156740694,,,0.9823215267026573,,,
