,Line Name,line_name_norep,to_keep_improved
74,PP_0751_PP_0813_PP_4189-R1,PP_0751_PP_0813_PP_4189,True
82,PP_0751_PP_0813_PP_4189-R2,PP_0751_PP_0813_PP_4189,True
90,PP_0751_PP_0813_PP_4189-R3,PP_0751_PP_0813_PP_4189,True
97,PP_0528_PP_4120_PP_4191-R1,PP_0528_PP_4120_PP_4191,True
98,PP_0528_PP_0751_PP_0813-R1,PP_0528_PP_0751_PP_0813,True
100,PP_0813_PP_0814-R1,PP_0813_PP_0814,True
105,PP_0528_PP_4120_PP_4191-R2,PP_0528_PP_4120_PP_4191,True
106,PP_0528_PP_0751_PP_0813-R2,PP_0528_PP_0751_PP_0813,True
108,PP_0813_PP_0814-R2,PP_0813_PP_0814,True
113,PP_0528_PP_4120_PP_4191-R3,PP_0528_PP_4120_PP_4191,True
114,PP_0528_PP_0751_PP_0813-R3,PP_0528_PP_0751_PP_0813,True
116,PP_0813_PP_0814-R3,PP_0813_PP_0814,True
122,PP_0812_PP_0814-R1,PP_0812_PP_0814,True
125,PP_0812_PP_4189-R1,PP_0812_PP_4189,True
130,PP_0812_PP_0814-R2,PP_0812_PP_0814,True
133,PP_0812_PP_4189-R2,PP_0812_PP_4189,True
138,PP_0812_PP_0814-R3,PP_0812_PP_0814,True
141,PP_0812_PP_4189-R3,PP_0812_PP_4189,True
146,PP_0437_PP_4189-R1,PP_0437_PP_4189,True
147,PP_0368_PP_0813-R1,PP_0368_PP_0813,True
148,PP_0368_PP_4189-R1,PP_0368_PP_4189,True
149,PP_4189_PP_4192-R1,PP_4189_PP_4192,True
150,PP_4120_PP_4189-R1,PP_4120_PP_4189,True
154,PP_0437_PP_4189-R2,PP_0437_PP_4189,True
155,PP_0368_PP_0813-R2,PP_0368_PP_0813,True
156,PP_0368_PP_4189-R2,PP_0368_PP_4189,True
157,PP_4189_PP_4192-R2,PP_4189_PP_4192,True
158,PP_4120_PP_4189-R2,PP_4120_PP_4189,True
162,PP_0437_PP_4189-R3,PP_0437_PP_4189,True
163,PP_0368_PP_0813-R3,PP_0368_PP_0813,True
164,PP_0368_PP_4189-R3,PP_0368_PP_4189,True
165,PP_4189_PP_4192-R3,PP_4189_PP_4192,True
166,PP_4120_PP_4189-R3,PP_4120_PP_4189,True
172,PP_0368_PP_0812-R1,PP_0368_PP_0812,True
179,PP_0368_PP_0812-R2,PP_0368_PP_0812,True
186,PP_0368_PP_0812-R3,PP_0368_PP_0812,True
